en,th
pasta,พาสตา
pasta,พาสตา
jack,แจ็ก
jack,แจ็ก
presenter,พริเซนเตอร์
presenter,พรีเซนเตอร์
presenter,พริเซนเตอร์
presenter,พรีเซนเตอร์
subscribe,ซับสไกรบ์
subscribe,ซับสไกรบ์
take care,เทกแคร์
take care,เทกแคร์
stun,สตัน
stun,สตัน
meet and greet,มีตแอนด์กรีต
meet and greet,มีตแอนด์กรีต
blogger,บล็อกเกอร์
blogger,บล็อกเกอร์
money,มันนี
money,มันนี
capture,แค็ปเชอร์
capture,แค็ปเชอร์
collection,คอลเลกชัน
collection,คอลเล็กชัน
collection,คอลเลกชัน
collection,คอลเล็กชัน
shutter,ชัตเตอร์
shutter,ชัตเตอร์
season,ซีซัน
season,ซีซัน
week,วีก
week,วีก
pop up,พ็อปอัป
pop up,พ็อปอัป
jacket,แจ็กเกต
jacket,แจ็กเก็ต
jacket,แจ็กเกต
jacket,แจ็กเก็ต
pickup,พิกอัป
pickup,พิกอัป
standy,สแตนดี
standy,สแตนดี
admit,แอดมิต
admit,แอดมิต
hybrid,ไฮบริด
hybrid,ไฮบริด
request,รีเควสต์
request,รีเควสต์
double,ดับเบิล
double,ดับเบิล
casting,คาสติง
casting,แคสติง
casting,คาสติง
casting,แคสติง
birthday,เบิร์ทเดย์
birthday,เบิร์ทเดย์
productions,โพรดักชันส์
productions,โพรดักชันส์
selfie,เซลฟี
selfie,เซลฟี
hangout,แฮงเอาต์
hangout,แฮงเอาต์
mix,มิกซ์
mix,มิกซ์
complete,คอมพลีต
complete,คอมพลีต
makeup,เมกอัป
makeup,เมกอัป
promote,โพรโมต
promote,โพรโมต
fitting,ฟิตติง
fitting,ฟิตติง
beauty blogger,บิวตีบล็อกเกอร์
beauty blogger,บิวตีบล็อกเกอร์
sweet,สวีต
sweet,สวีต
celeb,เซเลบ
celeb,เซเลบ
pretty,พริตตี
pretty,พริตตี
account,แอ็กเคานต์
account,แอ็กเคานต์
limited edition,ลิมิติดอิดิชัน
limited edition,ลิมิติดอิดิชัน
organic,ออร์แกนิก
organic,ออร์แกนิก
café,คาเฟ
café,แคเฟ
café,คาเฟ
café,แคเฟ
cafe,คาเฟ
cafe,แคเฟ
cafe,คาเฟ
cafe,แคเฟ
support,ซัปพอร์ต
support,ซัปพอร์ต
meet,มีต
meet,มีต
script,สกริปต์
script,สกริปต์
organizer,ออร์กาไนเซอร์
organizer,ออร์กาไนเซอร์
landmark,แลนด์มาร์ก
landmark,แลนด์มาร์ก
event,อิเวนต์
event,อิเวนต์
caption,แค็ปชัน
caption,แค็ปชัน
code,โคด
code,โคด
search,เซิร์ช
search,เซิร์ช
happy,แฮปปี
happy,แฮปปี
ship,ชิป
ship,ชิป
filter,ฟิลเตอร์
filter,ฟิลเตอร์
morning,มอร์นิง
morning,มอร์นิง
inner,อินเนอร์
inner,อินเนอร์
fanmeet,แฟนมีต
fanmeet,แฟนมีต
look,ลุก
look,ลุก
comedy,คอเมดี
comedy,คอเมดี
shock,ช็อก
shock,ช็อก
Aquarius,อะแควเรียส
Aquarius,อะแควเรียส
tamarind,แทมารินด์
tamarind,แทมารินด์
cove,โคฟ
cove,โคฟ
sweat,สเวต
sweat,สเวต
smart,สมาร์ต
smart,สมาร์ต
COVID-19,โควิด 19
COVID-19,โควิด 19
google trends,กูเกิลเทร็นดส์
google trends,กูเกิลเทร็นดส์
dump,ดัมป์
dump,ดัมป์
Clarinet,คลาริเน็ต
Clarinet,คลาริเน็ต
saxophone,แซ็กโซโฟน
saxophone,แซ็กโซโฟน
trumpet,ทรัมเป็ต
trumpet,ทรัมเป็ต
wealthy,เวลที
wealthy,เวลที
industry,อินดัสตรี
industry,อินดัสตรี
science,ไซเอนซ์
science,ไซเอนซ์
exports,เอกซ์ปอตส์
exports,เอกซ์ปอตส์
lab,แล็บ
lab,แล็บ
workshop,เวิร์กช็อป
workshop,เวิร์กช็อป
street food,สตรีตฟูด
street food,สตรีตฟูด
mask,มาสก์
mask,แมสก์
mask,มาสก์
mask,แมสก์
champion,แชมเปียน
champion,แชมเปียน
tuna,ทูนา
tuna,ทูนา
bonito,โบนีโต
bonito,โบนีโต
mackerel,แม็กเคอเรล
mackerel,แม็กเคอเรล
sardine,ซาร์ดีน
sardine,ซาร์ดีน
happy birthday,แฮปปีเบิร์ทเดย์
happy birthday,แฮปปีเบิร์ทเดย์
wobbler,วอบเบลอร์
wobbler,วอบเบลอร์
tri-flex,ไทร-เฟล็กซ์
tri-flex,ไทร-เฟล็กซ์
hydroponics,ไฮโดรพอนิกส์
hydroponics,ไฮโดรพอนิกส์
smoothie,สมูทที
smoothie,สมูทที
pop,พ็อป
pop,พ็อป
app,แอป
app,แอ็ป
app,แอป
app,แอ็ป
boots,บูตส์
boots,บูตส์
option,อ็อปชัน
option,อ็อปชัน
youtuber,ยูทูบเบอร์
youtuber,ยูทูบเบอร์
spray,สเปรย์
spray,สเปรย์
smart card,สมาร์ตการ์ด
smart card,สมาร์ตการ์ด
northeast,นอร์ทอีสต์
northeast,นอร์ทอีสต์
pharmaceutical,ฟาร์มาซูทิคัล
pharmaceutical,ฟาร์มาซูทิคัล
camp,แคมป์
camp,แคมป์
step,สเตป
step,สเต็ป
step,สเตป
step,สเต็ป
toffee cake,ทอฟฟี่เค้ก
toffee cake,ทอฟฟี่เค้ก
fruit cake,ฟรุตเค้ก
fruit cake,ฟรุตเค้ก
muffin raisin cake,มัฟฟินเรซินเค้ก
muffin raisin cake,มัฟฟินเรซินเค้ก
brownie,บราวนี
brownie,บราวนี
ultrasound,อัลตราซาวนด์
ultrasound,อัลตราซาวนด์
tag,แท็ก
tag,แท็ก
loose-parts,ลูสพารตส์
loose-parts,ลูสพารตส์
application,แอปพลิเคชัน
application,แอปพลิเคชัน
meme,มีม
meme,มีม
new normal,นิวนอร์มัล
new normal,นิวนอร์มัล
Facebook,เฟซบุ๊ก
Facebook,เฟซบุ๊ก
Twitter,ทวิตเตอร์
Twitter,ทวิตเตอร์
series,ซีรีส์
series,ซีรีส์
hardware,ฮาร์ดแวร์
hardware,ฮาร์ดแวร์
software,ซอฟต์แวร์
software,ซอฟต์แวร์
microphone,ไมโครโฟน
microphone,ไมโครโฟน
post,โพสต์
post,โพสต์
pose,โพส
pose,โพส
website,เว็บไซต์
website,เว็บไซต์
internet,อินเทอร์เน็ต
internet,อินเทอร์เน็ต
like,ไลก์
like,ไลก์
share,แชร์
share,แชร์
comment,คอมเมนต์
comment,คอมเมนต์
strawberry,สตรอว์เบอร์รี
strawberry,สตรอว์เบร์รี
strawberry,สตรอว์เบอร์รี
strawberry,สตรอว์เบร์รี
link,ลิงก์
link,ลิงก์
digital,ดิจิทัล
digital,ดิจิทัล
technology,เทคโนโลยี
technology,เทคโนโลยี
clinic,คลินิก
clinic,คลินิก
version,เวอร์ชัน
version,เวอร์ชัน
football,ฟุตบอล
football,ฟุตบอล
graph,กราฟ
graph,กราฟ
glucose,กลูโคส
glucose,กลูโคส
gauze,ก๊อซ
gauze,ก๊อซ
copy,ก๊อบปี้
copy,ก๊อบปี้
golf,กอล์ฟ
golf,กอล์ฟ
carat,กะรัต
carat,กะรัต
karat,กะรัต
karat,กะรัต
captain,กัปตัน
captain,กัปตัน
galaxy,กาแล็กซี
galaxy,กาแล็กซี
galactose,กาแล็กโทส
galactose,กาแล็กโทส
kilocycle,กิโลไซเกิล
kilocycle,กิโลไซเกิล
kilohertz,กิโลเฮิรตซ์
kilohertz,กิโลเฮิรตซ์
guitar,กีตาร์
guitar,กีตาร์
cook,กุ๊ก
cook,กุ๊ก
gout,เกาต์
gout,เกาต์
kaolin,เกาลิน
kaolin,เกาลิน
gear,เกียร์
gear,เกียร์
gang,แก๊ง
gang,แก๊ง
gadolinium,แกโดลิเนียม
gadolinium,แกโดลิเนียม
cap,แก๊ป
cap,แก๊ป
gamma,แกมมา
gamma,แกมมา
granite,แกรนิต
granite,แกรนิต
graphite,แกรไฟต์
graphite,แกรไฟต์
gallon,แกลลอน
gallon,แกลลอน
gallium,แกลเลียม
gallium,แกลเลียม
guide,ไกด์
guide,ไกด์
Krypton,คริปทอน
Krypton,คริปทอน
christmas,คริสต์มาส
christmas,คริสต์มาส
cream,ครีม
cream,ครีม
Chlorine,คลอรีน
Chlorine,คลอรีน
chloroform,คลอโรฟอร์ม
chloroform,คลอโรฟอร์ม
chlorophyll,คลอโรฟิลล์
chlorophyll,คลอโรฟิลล์
clutch,คลัตช์
clutch,คลัตช์
quinine,ควินิน
quinine,ควินิน
coccus,ค็อกคัส
coccus,ค็อกคัส
cocktail,ค็อกเทล
cocktail,ค็อกเทล
caucasoid,คอเคซอยด์
caucasoid,คอเคซอยด์
concrete,คอนกรีต
concrete,คอนกรีต
condenser,คอนเดนเซอร์
condenser,คอนเดนเซอร์
condominium,คอนโดมิเนียม
condominium,คอนโดมิเนียม
concert,คอนเสิร์ต
concert,คอนเสิร์ต
computer,คอมพิวเตอร์
computer,คอมพิวเตอร์
commando,คอมมานโด
commando,คอมมานโด
communism,communist
communism,คอมมิวนิสต์
communism,คอมมิวนิสต์
chord,คอร์ด
chord,คอร์ด
column,คอลัมน์
column,คอลัมน์
columnist,คอลัมนิสต์
columnist,คอลัมนิสต์
caustic soda,คอสติกโซดา
caustic soda,คอสติกโซดา
game show,เกมโชว์
game show,เกมโชว์
barley,บาร์เลย์
barley,บาร์เลย์
rye,ไรย์
rye,ไรย์
oat,โอ๊ต
oat,โอ๊ต
Catholic,คาทอลิก
Catholic,คาทอลิก
Carbon,คาร์บอน
Carbon,คาร์บอน
carbon dioxide,คาร์บอนไดออกไซด์
carbon dioxide,คาร์บอนไดออกไซด์
carbon monoxide,คาร์บอนมอนอกไซด์
carbon monoxide,คาร์บอนมอนอกไซด์
carbonate,คาร์บอเนต
carbonate,คาร์บอเนต
carbolic,คาร์บอลิก
carbolic,คาร์บอลิก
carburetor,คาร์บูเรเตอร์
carburetor,คาร์บูเรเตอร์
carborundum,คาร์โบรันดัม
carborundum,คาร์โบรันดัม
carbohydrate,คาร์โบไฮเดรต
carbohydrate,คาร์โบไฮเดรต
caravan,คาราวาน
caravan,คาราวาน
queue,คิว
queue,คิว
cookie,คุกกี้
cookie,คุกกี้
Curium,คูเรียม
Curium,คูเรียม
cake,เค้ก
cake,เค้ก
cable,เคเบิล
cable,เคเบิล
credit,เครดิต
credit,เครดิต
counter,เคาน์เตอร์
counter,เคาน์เตอร์
Cadmium,แคดเมียม
Cadmium,แคดเมียม
catalogue,catalog
catalogue,แค็ตตาล็อก
catalogue,แค็ตตาล็อก
cathode,แคโทด
cathode,แคโทด
capsule,แคปซูล
capsule,แคปซูล
calculus,แคลคูลัส
calculus,แคลคูลัส
Calcium,แคลเซียม
Calcium,แคลเซียม
calcium carbide,แคลเซียมคาร์ไบด์
calcium carbide,แคลเซียมคาร์ไบด์
calcium cyclamate,แคลเซียมไซคลาเมต
calcium cyclamate,แคลเซียมไซคลาเมต
calorie,แคลอรี
calorie,แคลอรี
Californium,แคลิฟอร์เนียม
Californium,แคลิฟอร์เนียม
cocaine,โคเคน
cocaine,โคเคน
cosecant,โคเซแคนต์
cosecant,โคเซแคนต์
cosine,โคไซน์
cosine,โคไซน์
Cobalt,โคบอลต์
Cobalt,โคบอลต์
coma,โคม่า
coma,โคม่า
Chromium,โครเมียม
Chromium,โครเมียม
chromosome,โครโมโซม
chromosome,โครโมโซม
quota,โควตา
quota,โควตา
coordinate,โคออร์ดิเนต
coordinate,โคออร์ดิเนต
germanium,เจอร์เมเนียม
germanium,เจอร์เมเนียม
joke,โจ๊ก
joke,โจ๊ก
shock,ช็อก
shock,ช็อก
chocolate,ช็อกโกเลต
chocolate,ช็อกโกแลต
chocolate,ช็อกโกเลต
chocolate,ช็อกโกแลต
chalk,ชอล์ก
chalk,ชอล์ก
shellac,ชะแล็ก
shellac,ชะแล็ก
shingle,ชิงเกิล
shingle,ชิงเกิล
peg,เป๊ก
peg,เป๊ก
chimpanzee,ชิมแปนซี
chimpanzee,ชิมแปนซี
cheque,เช็ค
cheque,เช็ค
shellac,เชลแล็ก
shellac,เชลแล็ก
shirt,เชิ้ต
shirt,เชิ้ต
poker,โป๊กเกอร์
poker,โป๊กเกอร์
cheer,เชียร์
cheer,เชียร์
Pope,โป๊ป
Pope,โป๊ป
program,โปรแกรม
program,โปรแกรม
proton,โปรตอน
proton,โปรตอน
chassis,แชสซี
chassis,แชสซี
protein,โปรตีน
protein,โปรตีน
show,โชว์
show,โชว์
sauce,ซอส
sauce,ซอส
Protestant,โปรเตสแตนต์
Protestant,โปรเตสแตนต์
sulpha,ซัลฟา
sulpha,ซัลฟา
samarium,ซาแมเรียม
samarium,ซาแมเรียม
zigzag,ซิกแซ็ก
zigzag,ซิกแซ็ก
cigar,ซิการ์
cigar,ซิการ์
cigarette,ซิกาแร็ต
cigarette,ซิกาแร็ต
zip,ซิป
zip,ซิป
syphilis,ซิฟิลิส
syphilis,ซิฟิลิส
silicon,ซิลิคอน
silicon,ซิลิคอน
Caesium,ซีเซียม
Caesium,ซีเซียม
Xenon,ซีนอน
Xenon,ซีนอน
cement,ซีเมนต์
cement,ซีเมนต์
Cerium,ซีเรียม
Cerium,ซีเรียม
selenium,ซีลีเนียม
selenium,ซีลีเนียม
soup,ซุป
soup,ซุป
sucrose,ซูโครส
sucrose,ซูโครส
set,เซต
set,เซต
centigramme,เซนติกรัม
centigramme,เซนติกรัม
centigrade,เซนติเกรด
centigrade,เซนติเกรด
centimetre,เซนติเมตร
centimetre,เซนติเมตร
centilitre,เซนติลิตร
centilitre,เซนติลิตร
protractor,โปรแทรกเตอร์
protractor,โปรแทรกเตอร์
poliomyelitis,โปลิโอ
poliomyelitis,โปลิโอ
postcard,โปสต์การ์ด
postcard,โปสต์การ์ด
plastic,พลาสติก
plastic,พลาสติก
Pluto,พลูโต
Pluto,พลูโต
plutonium,พลูโทเนียม
plutonium,พลูโทเนียม
Polonium,พอโลเนียม
Polonium,พอโลเนียม
depression,ดีเปรสชัน
depression,ดีเปรสชัน
parsec,พาร์เซก
parsec,พาร์เซก
paraffin wax,พาราฟิน
paraffin wax,พาราฟิน
pyramid,พีระมิด
pyramid,พีระมิด
praseodymium,เพรซีโอดิเมียม
praseodymium,เพรซีโอดิเมียม
platinum,แพลทินัม
platinum,แพลทินัม
palladium,แพลเลเดียม
palladium,แพลเลเดียม
positron,โพซิตรอน
positron,โพซิตรอน
potassium,โพแทสเซียม
potassium,โพแทสเซียม
protoactinium,pro-tactinium
protoactinium,โพรโทแอกทิเนียม
protoactinium,โพรโทแอกทิเนียม
promethium,โพรมีเทียม
promethium,โพรมีเทียม
fructose,ฟรักโทส
fructose,ฟรักโทส
free,ฟรี
free,ฟรี
fluorine,ฟลูออรีน
fluorine,ฟลูออรีน
formaldehyde,ฟอร์มาลดีไฮด์
formaldehyde,ฟอร์มาลดีไฮด์
formalin,ฟอร์มาลิน
formalin,ฟอร์มาลิน
phosphorus,ฟอสฟอรัส
phosphorus,ฟอสฟอรัส
phosphate,ฟอสเฟต
phosphate,ฟอสเฟต
function,ฟังก์ชัน
function,ฟังก์ชัน
fathom,ฟาทอม
fathom,ฟาทอม
farm,ฟาร์ม
farm,ฟาร์ม
fascist,ฟาสซิสต์
fascist,ฟาสซิสต์
film,ฟิล์ม
film,ฟิล์ม
fuse,ฟิวส์
fuse,ฟิวส์
physics,ฟิสิกส์
physics,ฟิสิกส์
foot,ฟุต
foot,ฟุต
foolscap,ฟุลสแก๊ป
foolscap,ฟุลสแก๊ป
feldspar,เฟลด์สปาร์
feldspar,เฟลด์สปาร์
fermium,เฟอร์เมียม
fermium,เฟอร์เมียม
fern,เฟิน
fern,เฟิน
fern,เฟิร์น
fashion,แฟชั่น
fashion,แฟชั่น
francium,แฟรนเซียม
francium,แฟรนเซียม
flax,แฟลกซ์
flax,แฟลกซ์
flat,แฟลต
flat,แฟลต
focus,โฟกัส
focus,โฟกัส
Mongoloid,มองโกลอยด์
Mongoloid,มองโกลอยด์
Mongolia,มองโกเลีย
Mongolia,มองโกเลีย
motor,มอเตอร์
motor,มอเตอร์
morphine,มอร์ฟีน
morphine,มอร์ฟีน
maltose,มอลโทส
maltose,มอลโทส
macaroni,มะกะโรนี
macaroni,มะกะโรนี
macaroni,มักกะโรนี
mummy,มัมมี่
mummy,มัมมี่
mustard,มัสตาร์ด
mustard,มัสตาร์ด
muslin,มัสลิน
muslin,มัสลิน
meter,มิเตอร์
meter,มิเตอร์
millibar,มิลลิบาร์
millibar,มิลลิบาร์
methane,มีเทน
methane,มีเทน
celsius,เซลเซียส
celsius,เซลเซียส
megahertz,เมกะเฮิรตซ์
megahertz,เมกะเฮิรตซ์
cell,เซลล์
cell,เซลล์
celluloid,เซลลูลอยด์
celluloid,เซลลูลอยด์
metric,เมตริก
metric,เมตริก
cellulose,เซลลูโลส
cellulose,เซลลูโลส
zirconium,เซอร์โคเนียม
zirconium,เซอร์โคเนียม
metric ton,เมตริกตัน
metric ton,เมตริกตัน
saccharin,แซ็กคาริน
saccharin,แซ็กคาริน
saccharin sodium,แซ็กคารินโซเดียม
saccharin sodium,แซ็กคารินโซเดียม
soda,โซดา
soda,โซดา
methanol,เมทานอล
methanol,เมทานอล
sodium,โซเดียม
sodium,โซเดียม
sodium carbonate,โซเดียมคาร์บอเนต
sodium carbonate,โซเดียมคาร์บอเนต
methyl alcohol,เมทิลแอลกอฮอล์
methyl alcohol,เมทิลแอลกอฮอล์
sodium sulphate,โซเดียมซัลเฟต
sodium sulphate,โซเดียมซัลเฟต
mendelevium,เมนเดลีเวียม
mendelevium,เมนเดลีเวียม
sodium cyclamate,โซเดียมไซคลาเมต
sodium cyclamate,โซเดียมไซคลาเมต
sodium hydrogen glutamate,โซเดียมไฮโดรเจนกลูทาเมต
sodium hydrogen glutamate,โซเดียมไฮโดรเจนกลูทาเมต
sodium hydrogen carbonate,โซเดียมไฮโดรเจนคาร์บอเนต
sodium hydrogen carbonate,โซเดียมไฮโดรเจนคาร์บอเนต
sodium hydrogen sulphate,โซเดียมไฮโดรเจนซัลเฟต
sodium hydrogen sulphate,โซเดียมไฮโดรเจนซัลเฟต
cycle,ไซเกิล
cycle,ไซเกิล
cyclone,ไซโคลน
cyclone,ไซโคลน
menthol,เมนทอล
menthol,เมนทอล
sine,ไซน์
sine,ไซน์
Magnesium,แมกนีเซียม
Magnesium,แมกนีเซียม
manganin,แมงกานิน
manganin,แมงกานิน
Manganese,แมงกานีส
Manganese,แมงกานีส
magistrate,แมยิสเตร็ด
magistrate,แมยิสเตร็ด
monosaccharide,โมโนแซ็กคาไรด์
monosaccharide,โมโนแซ็กคาไรด์
moment,โมเมนต์
moment,โมเมนต์
molybdenum,โมลิบดีนัม
molybdenum,โมลิบดีนัม
molecule,โมเลกุล
molecule,โมเลกุล
siren,ไซเรน
siren,ไซเรน
silo,ไซโล
silo,ไซโล
mosaic,โมเสก
mosaic,โมเสก
draft,ดราฟต์
draft,ดราฟต์
dollar,ดอลลาร์
dollar,ดอลลาร์
Dysprosium,ดิสโพรเซียม
Dysprosium,ดิสโพรเซียม
diesel,ดีเซล
diesel,ดีเซล
micron,ไมครอน
micron,ไมครอน
dextrose,เดกซ์โทรส
dextrose,เดกซ์โทรส
microfilm,ไมโครฟิล์ม
microfilm,ไมโครฟิล์ม
decimetre,เดซิเมตร
decimetre,เดซิเมตร
decilitre,เดซิลิตร
decilitre,เดซิลิตร
Denmark,เดนมาร์ก
Denmark,เดนมาร์ก
disaccharide,ไดแซ็กคาไรด์
disaccharide,ไดแซ็กคาไรด์
micrometer,ไมโครมิเตอร์
micrometer,ไมโครมิเตอร์
dynamo,ไดนาโม
dynamo,ไดนาโม
dinosaur,ไดโนเสาร์
dinosaur,ไดโนเสาร์
directrix,ไดเรกตริกซ์
directrix,ไดเรกตริกซ์
mile,ไมล์
mile,ไมล์
gypsy,gipsy
gypsy,ยิปซี
gypsy,ยิปซี
torpedo,ตอร์ปิโด
torpedo,ตอร์ปิโด
gymnastic,ยิมนาสติก
gymnastic,ยิมนาสติก
ton,ตัน
ton,ตัน
jean,ยีน
jean,ยีน
tent,เต็นท์
tent,เต็นท์
trombone,ทรอมโบน
trombone,ทรอมโบน
trumpet,ทรัมเป็ต
trumpet,ทรัมเป็ต
Uranus,ยูเรนัส
Uranus,ยูเรนัส
transistor,ทรานซิสเตอร์
transistor,ทรานซิสเตอร์
tonsil,ทอนซิล
tonsil,ทอนซิล
uranium,ยูเรเนียม
uranium,ยูเรเนียม
toffee,ทอฟฟี่
toffee,ทอฟฟี่
tornado,ทอร์นาโด
tornado,ทอร์นาโด
thorium,ทอเรียม
thorium,ทอเรียม
tungsten,ทังสเตน
tungsten,ทังสเตน
tincture,ทิงเจอร์
tincture,ทิงเจอร์
tissue,ทิชชู
tissue,ทิชชู
Europium,ยูโรเพียม
Europium,ยูโรเพียม
team,ทีม
team,ทีม
TNT,ทีเอ็นที
TNT,ทีเอ็นที
Jesus,เยซู
Jesus,เยซู
thulium,ทูเลียม
thulium,ทูเลียม
technique,เทคนิค
technique,เทคนิค
Technetium,เทคนีเชียม
Technetium,เทคนีเชียม
jab,แย็บ
jab,แย็บ
tennis,เทนนิส
tennis,เทนนิส
tellurium,เทลลูเรียม
tellurium,เทลลูเรียม
term,เทอม
term,เทอม
jam,แยม
jam,แยม
terbium,เทอร์เบียม
terbium,เทอร์เบียม
thermometer,เทอร์โมมิเตอร์
thermometer,เทอร์โมมิเตอร์
taxi,แท็กซี่
taxi,แท็กซี่
tangent,แทนเจนต์
tangent,แทนเจนต์
rutherfordium,รัทเทอร์ฟอร์เดียม
rutherfordium,รัทเทอร์ฟอร์เดียม
Tantalum,แทนทาลัม
Tantalum,แทนทาลัม
tractor,แทรกเตอร์
tractor,แทรกเตอร์
thallium,แทลเลียม
thallium,แทลเลียม
rummy,รัมมี่
rummy,รัมมี่
ribbon,ริบบิ้น
ribbon,ริบบิ้น
titanium,ไทเทเนียม
titanium,ไทเทเนียม
titrate,ไทเทรต
titrate,ไทเทรต
knot,นอต
knot,นอต
reduction,รีดักชัน
reduction,รีดักชัน
rhenium,รีเนียม
rhenium,รีเนียม
negroid,นิกรอยด์
negroid,นิกรอยด์
ream,รีม
ream,รีม
ruthenium,รูทีเนียม
ruthenium,รูทีเนียม
rubidium,รูบิเดียม
rubidium,รูบิเดียม
roulette,รูเล็ตต์
roulette,รูเล็ตต์
Radon,เรดอน
Radon,เรดอน
nicotine,นิโคติน
nicotine,นิโคติน
nichrome,นิโครม
nichrome,นิโครม
nuclear,นิวเคลียร์
nuclear,นิวเคลียร์
nucleus,นิวเคลียส
nucleus,นิวเคลียส
neutron,นิวตรอน
neutron,นิวตรอน
neodymium,นีโอดิเมียม
neodymium,นีโอดิเมียม
radar,เรดาร์
radar,เรดาร์
netball,เนตบอล
netball,เนตบอล
nebula,เนบิวลา
nebula,เนบิวลา
Neptune,เนปจูน
Neptune,เนปจูน
radium,เรเดียม
radium,เรเดียม
neptunium,เนปทูเนียม
neptunium,เนปทูเนียม
racket,แร็กเกต
racket,แร็กเกต
rhodium,โรเดียม
rhodium,โรเดียม
Roman,โรมัน
Roman,โรมัน
note,โน้ต
note,โน้ต
Roman Catholic,โรมันคาทอลิก
Roman Catholic,โรมันคาทอลิก
nobelium,โนเบเลียม
nobelium,โนเบเลียม
nightclub,ไนต์คลับ
nightclub,ไนต์คลับ
nitrogen,ไนโตรเจน
nitrogen,ไนโตรเจน
nylon,ไนลอน
nylon,ไนลอน
niobium,ไนโอเบียม
niobium,ไนโอเบียม
brandy,บรั่นดี
brandy,บรั่นดี
bridge,บริดจ์
bridge,บริดจ์
block,บล็อก
block,บล็อก
ball,บอล
ball,บอล
bungalow,บังกะโล
bungalow,บังกะโล
balloon,บัลลูน
balloon,บัลลูน
bacillus,บาซิลลัส
bacillus,บาซิลลัส
bar,บาร์
bar,บาร์
barrel,บาร์เรล
barrel,บาร์เรล
barometer,บารอมิเตอร์
barometer,บารอมิเตอร์
basketball,บาสเกตบอล
basketball,บาสเกตบอล
billiards,บิลเลียด
billiards,บิลเลียด
burette,บิวเรตต์
burette,บิวเรตต์
Bismuth,บิสมัท
Bismuth,บิสมัท
brake,เบรก
brake,เบรก
Beryllium,เบริลเลียม
Beryllium,เบริลเลียม
base,เบส
base,เบส
Berkelium,เบอร์คีเลียม
Berkelium,เบอร์คีเลียม
beer,เบียร์
beer,เบียร์
bacteria,แบคทีเรีย
bacteria,แบคทีเรีย
badminton,แบดมินตัน
badminton,แบดมินตัน
battery,แบตเตอรี่
battery,แบตเตอรี่
banjo,แบนโจ
banjo,แบนโจ
Barium,แบเรียม
Barium,แบเรียม
bow,โบ
bow,โบว์
bow,บาว
bow,โบ
bow,โบว์
bow,บาว
boat,โบต
boat,โบต
bonus,โบนัส
bonus,โบนัส
Bromine,โบรมีน
Bromine,โบรมีน
Boron,โบรอน
Boron,โบรอน
prism,ปริซึม
prism,ปริซึม
plug,ปลั๊ก
plug,ปลั๊ก
plaster,ปลาสเตอร์
plaster,ปลาสเตอร์
plaster,ปลาสเตอร์
plaster,ปลาสเตอร์
pound,ปอนด์
pound,ปอนด์
picnic,ปิกนิก
picnic,ปิกนิก
pingpong,ปิงปอง
pingpong,ปิงปอง
petroleum,ปิโตรเลียม
petroleum,ปิโตรเลียม
savanna,สะวันนา
savanna,สะวันนา
yacht,ยอช์ต
yacht,ยอช์ต
locket,ล็อกเกต
locket,ล็อกเกต
logarithm,ลอการิทึม
logarithm,ลอการิทึม
longitude,ลองจิจูด
longitude,ลองจิจูด
